X,Y,TYPE
2235,2228,MOVE
2233,2227,MOVE
2228,2226,MOVE
2225,2225,MOVE
2222,2223,MOVE
2221,2222,MOVE
2221,2220,MOVE
2225,2218,MOVE
2231,2216,MOVE
2287,2201,MOVE
2287,2201,UP
2287,2201,MOVE
2287,2201,DOWN
2717,1770,MOVE
2715,1771,MOVE
2715,1771,UP
2715,1771,MOVE
2715,1771,DOWN
2567,2758,MOVE
2564,2758,MOVE
2563,2758,MOVE
2563,2758,UP
2563,2758,MOVE
2563,2758,DOWN
2609,2957,MOVE
2607,2957,MOVE
2604,2957,MOVE
2605,2956,MOVE
2605,2956,UP
2605,2956,MOVE
2605,2956,DOWN
2775,1571,MOVE
2774,1571,MOVE
2772,1571,MOVE
2772,1571,UP
2772,1571,MOVE
2772,1571,DOWN
3039,1258,MOVE
3036,1287,MOVE
3034,1373,MOVE
3053,1529,MOVE
3097,1726,MOVE
3172,1967,MOVE
3293,2241,MOVE
3461,2552,MOVE
3638,2838,MOVE
3888,3243,MOVE
3888,3243,UP
3888,3243,MOVE
3888,3243,DOWN
3945,261,MOVE
3945,261,UP
3945,261,MOVE
3945,261,DOWN
3554,487,MOVE
3552,486,MOVE
3553,485,MOVE
3553,485,UP
3553,485,MOVE
3553,485,DOWN
2963,995,MOVE
2962,997,MOVE
2965,997,MOVE
2965,997,UP
2965,997,MOVE
2965,997,DOWN
3246,562,MOVE
3244,562,MOVE
3242,562,MOVE
3239,562,MOVE
3240,561,MOVE
3240,561,UP
3240,561,MOVE
3240,561,DOWN
3370,886,MOVE
3366,887,MOVE
3364,887,MOVE
3364,888,MOVE
3364,888,UP
3364,888,MOVE
3364,888,DOWN
2851,3375,MOVE
2851,3372,MOVE
2851,3364,MOVE
2851,3350,MOVE
2853,3331,MOVE
2860,3286,MOVE
2878,3201,MOVE
2913,3057,MOVE
2960,2893,MOVE
3023,2703,MOVE
3111,2481,MOVE
3208,2261,MOVE
3325,2043,MOVE
3463,1816,MOVE
3612,1585,MOVE
3823,1257,MOVE
3823,1257,UP
3823,1257,MOVE
3823,1257,DOWN
2488,2113,MOVE
2489,2113,MOVE
2494,2111,MOVE
2494,2111,UP
2494,2111,MOVE
2494,2111,DOWN
2615,2761,MOVE
2612,2742,MOVE
2608,2677,MOVE
2612,2554,MOVE
2633,2392,MOVE
2675,2188,MOVE
2758,1943,MOVE
2885,1661,MOVE
3045,1396,MOVE
3237,1148,MOVE
3452,921,MOVE
3787,567,MOVE
3787,567,UP
3787,567,MOVE
3787,567,DOWN
3483,2271,MOVE
3480,2271,MOVE
3478,2270,MOVE
3475,2270,MOVE
3474,2270,MOVE
3474,2270,UP
3474,2270,MOVE
3474,2270,DOWN
1735,3797,MOVE
1737,3799,MOVE
1738,3799,MOVE
1740,3800,MOVE
1741,3800,MOVE
1741,3800,UP
1741,3800,MOVE
1741,3800,DOWN
1728,3805,MOVE
1726,3805,MOVE
1725,3807,MOVE
1723,3808,MOVE
1721,3810,MOVE
1721,3813,MOVE
1721,3813,UP
1721,3813,MOVE
1721,3813,DOWN
1677,3852,MOVE
1677,3852,UP
1677,3852,MOVE
1677,3852,DOWN
1801,3464,MOVE
1800,3464,MOVE
1800,3464,MOVE
1801,3465,MOVE
1806,3466,MOVE
1806,3466,UP
1806,3466,MOVE
1806,3466,DOWN
2741,3622,MOVE
2741,3624,MOVE
2741,3626,MOVE
2743,3626,MOVE
2743,3627,MOVE
2743,3627,UP
2743,3627,MOVE
2743,3627,DOWN
2200,3757,MOVE
2200,3758,MOVE
2202,3759,MOVE
2204,3760,MOVE
2204,3761,MOVE
2204,3761,UP
2204,3761,MOVE
2204,3761,DOWN
2233,3799,MOVE
2235,3800,MOVE
2234,3801,MOVE
2234,3802,MOVE
2234,3802,UP
2234,3802,MOVE
2234,3802,DOWN
423,3726,MOVE
423,3727,MOVE
423,3728,MOVE
423,3729,MOVE
423,3729,UP
423,3729,MOVE
423,3729,DOWN
167,2900,MOVE
167,2899,MOVE
169,2898,MOVE
169,2898,UP
169,2898,MOVE
169,2898,DOWN
3846,2880,MOVE
3850,2880,MOVE
3850,2880,UP
3850,2880,MOVE
3850,2880,DOWN
3865,2871,MOVE
3865,2872,MOVE
3865,2873,MOVE
3865,2874,MOVE
3865,2876,MOVE
3865,2877,MOVE
3865,2877,UP
3865,2877,MOVE
3865,2877,DOWN
3806,3758,MOVE
3806,3759,MOVE
3805,3759,MOVE
3805,3760,MOVE
3807,3760,MOVE
3807,3760,UP
3807,3760,MOVE
3807,3760,DOWN
3818,3799,MOVE
3818,3800,MOVE
3818,3801,MOVE
3818,3802,MOVE
3815,3804,MOVE
3815,3804,UP
3815,3804,MOVE
3815,3804,DOWN
1748,3471,MOVE
1750,3472,MOVE
1752,3472,MOVE
1756,3473,MOVE
1759,3473,MOVE
1762,3475,MOVE
1762,3475,UP
1762,3475,MOVE
1762,3475,DOWN
3347,2010,MOVE
3349,2011,MOVE
3349,2012,MOVE
3352,2012,MOVE
3354,2013,MOVE
3357,2013,MOVE
3359,2013,MOVE
3359,2013,UP
3359,2013,MOVE
3359,2013,DOWN
2953,1867,MOVE
2953,1865,MOVE
2953,1861,MOVE
2950,1853,MOVE
2948,1841,MOVE
2947,1825,MOVE
2946,1804,MOVE
2941,1714,MOVE
2940,1624,MOVE
2947,1539,MOVE
2957,1459,MOVE
2971,1398,MOVE
2984,1356,MOVE
2995,1324,MOVE
3003,1304,MOVE
3015,1292,MOVE
3022,1285,MOVE
3030,1282,MOVE
3039,1280,MOVE
3046,1281,MOVE
3054,1283,MOVE
3060,1286,MOVE
3063,1290,MOVE
3069,1297,MOVE
3073,1306,MOVE
3075,1322,MOVE
3075,1349,MOVE
3074,1387,MOVE
3069,1442,MOVE
3060,1511,MOVE
3055,1588,MOVE
3048,1674,MOVE
3047,1767,MOVE
3044,1869,MOVE
3042,1976,MOVE
3041,2091,MOVE
3041,2210,MOVE
3044,2331,MOVE
3047,2459,MOVE
3057,2597,MOVE
3070,2744,MOVE
3101,2899,MOVE
3145,3059,MOVE
3207,3226,MOVE
3292,3401,MOVE
3393,3581,MOVE
3515,3759,MOVE
3610,3934,MOVE
3690,4083,MOVE
3690,4083,UP
3690,4083,MOVE
3690,4083,DOWN
2841,3407,MOVE
2838,3408,MOVE
2837,3409,MOVE
2834,3410,MOVE
2835,3411,MOVE
2844,3414,MOVE
2844,3414,UP
2844,3414,MOVE
2844,3414,DOWN
2957,1125,MOVE
2954,1125,MOVE
2953,1124,MOVE
2953,1125,MOVE
2953,1125,UP
2953,1125,MOVE
2953,1125,DOWN
2763,848,MOVE
2764,847,MOVE
2762,845,MOVE
2763,843,MOVE
2763,843,UP
2763,843,MOVE
2763,843,DOWN
3316,861,MOVE
3316,862,MOVE
3316,862,MOVE
3316,862,MOVE
3316,862,UP
3316,862,MOVE
3316,862,DOWN
442,3350,MOVE
440,3351,MOVE
435,3352,MOVE
434,3353,MOVE
433,3353,MOVE
433,3353,UP
433,3353,MOVE
433,3353,DOWN
2397,2554,MOVE
2395,2551,MOVE
2394,2543,MOVE
2395,2528,MOVE
2398,2509,MOVE
2407,2465,MOVE
2429,2384,MOVE
2478,2254,MOVE
2542,2108,MOVE
2619,1943,MOVE
2718,1754,MOVE
2832,1569,MOVE
2965,1381,MOVE
3099,1191,MOVE
3282,928,MOVE
3282,928,UP
3282,928,MOVE
3282,928,DOWN
3434,1576,MOVE
3432,1576,MOVE
3430,1577,MOVE
3426,1578,MOVE
3423,1580,MOVE
3419,1581,MOVE
3417,1582,MOVE
3414,1583,MOVE
3412,1584,MOVE
3411,1586,MOVE
3410,1586,MOVE
3409,1587,MOVE
3410,1587,MOVE
3410,1587,UP
3410,1587,MOVE
3410,1587,DOWN
2762,1690,MOVE
2765,1690,MOVE
2767,1691,MOVE
2768,1691,MOVE
2769,1689,MOVE
2769,1689,UP
2769,1689,MOVE
2769,1689,DOWN
3190,1420,MOVE
3188,1420,MOVE
3185,1419,MOVE
3182,1417,MOVE
3182,1417,UP
3182,1417,MOVE
3182,1417,DOWN
2968,1436,MOVE
2967,1442,MOVE
2965,1455,MOVE
2963,1488,MOVE
2962,1553,MOVE
2970,1650,MOVE
2996,1758,MOVE
3043,1878,MOVE
3105,2006,MOVE
3201,2140,MOVE
3296,2259,MOVE
3432,2432,MOVE
3432,2432,UP
3432,2432,MOVE
3432,2432,DOWN
2933,1826,MOVE
